Jugador,Edad,Convocados,Partidos_Jugados,Partidos_Titular,Minutos,Goles,Amarillas,Rojas,Equipo,Posicion,Pct_Titularidad,Minutos_por_Partido,Partidos_90,Goles_p90,Amarillas_p90,Rojas_p90,Tarjetas_p90,Pct_Participacion,Pct_Titularidad_Real,Minutos_por_Convocatoria,Tarjetas_Totales,Disciplina,Impacto_Ofensivo,Confianza_CT,Jugador_Problema,Posicion_Limpia,Peso_Equipo,Rank_Impacto_Ofensivo,Rank_Confianza_CT,Rank_Pct_Titularidad_Real,Rank_Disciplina,Rank_Peso_Equipo
Diego Chaves Calvo,28.0,15,15,13,1035,4.0,4,0,Cd Almoradi,Interior Izquierdo,0.8666666666666667,69.0,11.5,0.34782608695652173,0.34782608695652173,0.0,0.34782608695652173,1.0,0.8666666666666667,69.0,4,0.003864734299516908,2.414663201982424,69.0,False,Interior Izquierdo,0.9466666666666667,43.0,118.0,11.0,169.0,9.0
Manu Rodríguez Villena,22.0,15,15,14,1091,0.0,5,1,Cd Almoradi,Centrocampista,0.9333333333333333,72.73333333333333,12.122222222222222,0.0,0.41246562786434465,0.08249312557286893,0.5774518790100825,1.0,0.9333333333333333,72.73333333333333,7,0.006416131989000917,0.0,72.73333333333333,False,Centrocampista,0.9733333333333334,151.0,99.0,3.0,86.0,2.0
Miravete Parra,25.0,11,11,5,541,0.0,4,0,Cd Almoradi,Medio Centro,0.45454545454545453,49.18181818181818,6.011111111111111,0.0,0.6654343807763401,0.0,0.6654343807763401,1.0,0.45454545454545453,49.18181818181818,4,0.0073937153419593345,0.0,49.18181818181818,True,Medio Centro,0.7818181818181817,151.0,210.0,40.0,67.0,53.0
Pacha Albadalejo Gomez,19.0,14,14,12,1030,2.0,9,0,Cd Almoradi,Medio Centro,0.8571428571428571,73.57142857142857,11.444444444444445,0.17475728155339806,0.7864077669902912,0.0,0.7864077669902912,1.0,0.8571428571428571,73.57142857142857,9,0.008737864077669903,1.21234615011676,73.57142857142857,True,Medio Centro,0.9428571428571428,93.0,95.0,12.0,53.0,10.0
Pedro Tranche Molina,30.0,15,15,10,888,2.0,3,0,Cd Almoradi,Medio Centro,0.6666666666666666,59.2,9.866666666666667,0.2027027027027027,0.30405405405405406,0.0,0.30405405405405406,1.0,0.6666666666666666,59.2,3,0.0033783783783783786,1.376142920876791,59.2,False,Medio Centro,0.8666666666666667,87.0,171.0,26.0,184.0,31.0
Poveda Serna,23.0,16,16,13,1035,1.0,4,0,Cd Almoradi,Medio Centro,0.8125,64.6875,11.5,0.08695652173913043,0.34782608695652173,0.0,0.34782608695652173,1.0,0.8125,64.6875,4,0.003864734299516908,0.603665800495606,64.6875,False,Medio Centro,0.925,135.0,143.0,16.0,169.0,15.0
Zafra,23.0,3,3,0,78,0.0,2,0,Cd Almoradi,Centrocampista,0.0,26.0,0.8666666666666667,0.0,2.3076923076923075,0.0,2.3076923076923075,1.0,0.0,26.0,2,0.02564102564102564,0.0,26.0,True,Centrocampista,0.6,151.0,291.0,68.0,7.0,96.0
Elías Zahid Bouahoud,23.0,5,5,0,105,1.0,1,0,Cd Almoradi,Extremo Derecho,0.0,21.0,1.1666666666666667,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,1.0,0.0,21.0,1,0.009523809523809525,3.989108871563591,21.0,True,Extremo Derecho,0.6,19.0,303.0,68.0,40.0,96.0
Meseguer Borreguero,24.0,15,15,4,520,2.0,1,0,Cd Almoradi,Delantero Centro,0.26666666666666666,34.666666666666664,5.777777777777778,0.34615384615384615,0.17307692307692307,0.0,0.17307692307692307,1.0,0.26666666666666666,34.666666666666664,1,0.0019230769230769232,2.164786896314587,34.666666666666664,False,Delantero Centro,0.7066666666666667,51.0,268.0,54.0,231.0,73.0
Raúl Domínguez Sánchez,22.0,13,13,7,647,5.0,4,0,Cd Almoradi,Delantero Centro,0.5384615384615384,49.76923076923077,7.188888888888889,0.6955177743431221,0.5564142194744977,0.0,0.5564142194744977,1.0,0.5384615384615384,49.76923076923077,4,0.0061823802163833074,4.501631889529221,49.76923076923077,False,Delantero Centro,0.8153846153846154,10.0,207.0,35.0,93.0,48.0
